FastInstructions,practicetext,practicecorrect,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross1.started,fixcross1.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,scaretone.started,scaretone.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",,,,,0,0,0,0,,,,,,,,,17.886278848003712,None,f,1.3654308319964912,19.853132540010847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press F to continue",,,,,0,1,1,1,,,,,,,,,21.27104225900257,None,f,0.17494262699619867,23.254323776011006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,2,2,2,,,,,,,,,23.47063873001025,None,f,0.534947327003465,25.453012072001002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press 'F' to continue.",,,,,0,3,3,3,,,,,,,,,26.036810764009715,None,f,0.50324493800872,28.020652233011788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,4,4,4,,,,,,,,,28.570596607009065,None,f,0.3374937390035484,30.553355633004685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,The Earth is a star,j,,,,,,,0,0,0,7,,,,,,,,,,,30.97073108200857,31.42124135501217,31.454733242004295,None,j,1,1.578894209000282,31.454733242004295,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,A clock is used to tell time,f,,,,,,,0,1,1,3,,,,,,,,,,,33.07134942500852,33.52078057901235,33.55379729100969,None,f,1,0.9616603750037029,33.55379729100969,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,Magenta is a color,f,,,,,,,0,2,2,2,,,,,,,,,,,34.55454448700766,35.00456127000507,35.037958617002005,None,f,1,0.7656240049982443,35.037958617002005,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,A circle is a shape,f,,,,,,,0,3,3,0,,,,,,,,,,,35.82161804201314,36.271377907003625,36.30533606999961,None,f,1,1.0730083499947796,36.30533606999961,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,Dinosaurs are extinct,f,,,,,,,0,4,4,1,,,,,,,,,,,37.4206880020065,37.87087090901332,37.887942236004164,None,f,1,0.7404231969994726,37.887942236004164,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,Mississippi is a country,j,,,,,,,0,5,5,8,,,,,,,,,,,38.65496811400226,39.106094514005235,39.13866156300355,None,j,1,1.144766323006479,39.13866156300355,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,Jupiter is the planet we live on,j,,,,,,,0,6,6,6,,,,,,,,,,,40.304977136009256,40.75499150399992,40.788627830013866,None,j,1,0.9324931579903932,40.788627830013866,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,Humans cannot breathe water,f,,,,,,,0,7,7,4,,,,,,,,,,,41.75479688901396,42.204013393013156,42.23821557300107,None,j,0,0.7436742229911033,42.23821557300107,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
,Humans cannot eat food,j,,,,,,,0,8,8,9,,,,,,,,,,,43.021503430005396,43.47132959400187,43.504840649009566,None,j,1,1.4651334080117522,43.504840649009566,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1628,InfinityThesisTest5,2021.2.3,59.9898513980102,
