FastInstructions,practicetext,practicecorrect,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross1.started,fixcross1.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,scaretone.started,scaretone.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press F to Continue",,,,,0,0,0,0,,,,,,,,,15.85487265700067,None,f,0.3018688299925998,17.820744344004197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press F to continue",,,,,0,1,1,1,,,,,,,,,18.187479116008035,None,f,2.8349678849917836,20.171669381001266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,2,2,2,,,,,,,,,23.07159557301202,None,f,0.13229843700537458,25.055207630008226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press 'F' to continue.",,,,,0,3,3,3,,,,,,,,,25.2214364290121,None,f,0.2336066299903905,27.204990238999017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press F to continue",,,,,0,4,4,4,,,,,,,,,27.488200855004834,None,f,0.980821614008164,29.472281145004672,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,A circle is a shape,f,,,,,,,0,0,0,0,,,,,,,,,,,30.523016124003334,30.988171725999564,31.004605612004525,None,f,1,0.49738384599913843,31.004605612004525,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,A clock is used to tell time,f,,,,,,,0,1,1,3,,,,,,,,,,,31.537944308001897,31.98893489901093,32.02238742100599,None,f,1,0.4543716300104279,32.02238742100599,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,Humans cannot eat food,j,,,,,,,0,2,2,9,,,,,,,,,,,32.507511485004216,32.97223089500039,32.98932973200863,None,f,0,0.3165428500069538,32.98932973200863,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,Humans cannot breathe water,f,,,,,,,0,3,3,4,,,,,,,,,,,33.338955102008185,33.789251515001524,33.82210549101001,None,f,1,0.27257966800243594,33.82210549101001,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,Dinosaurs are extinct,f,,,,,,,0,4,4,1,,,,,,,,,,,34.138613711998914,34.5887439680082,34.62236483900051,None,f,1,0.2815102949971333,34.62236483900051,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,Mississippi is a country,j,,,,,,,0,5,5,8,,,,,,,,,,,34.92229248500371,35.37225597300858,35.40544226000202,None,f,0,0.5691003230022034,35.40544226000202,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,The Earth is a star,j,,,,,,,0,6,6,7,,,,,,,,,,,36.00597237600596,36.45596564099833,36.48874724999769,None,f,0,0.42289782800071407,36.48874724999769,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,Jupiter is the planet we live on,j,,,,,,,0,7,7,6,,,,,,,,,,,36.95531671401113,37.405841298997984,37.43899540499842,None,f,0,0.27345721500751097,37.43899540499842,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,Magenta is a color,f,,,,,,,0,8,8,2,,,,,,,,,,,37.75519958201039,38.20593936300429,38.22207683100714,None,f,1,0.26331689801008906,38.22207683100714,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,A truck is an animal,j,,,,,,,0,9,9,5,,,,,,,,,,,38.52286528600962,38.98841987201013,38.98841987201013,None,f,0,0.2519482420029817,38.98841987201013,None,None,None,,,,,,,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.30627118500706,None,f,0.15458427600970026,42.29058995300147,None,,,,,,,,,,,,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,,,Yellow is a color,f,,,,,,,,,0,0,0,119,,,,,,,,,,,,,,,,,,,,,,,,42.52317679600674,42.97285195000586,42.989814059998025,None,f,1,0.7089762819960015,42.989814059998025,None,None,None,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,,,Humans cannot breathe water,f,,,,,,,,,0,1,1,130,,,,,,,,,,,,,,,,,,,,,,,,43.72404601400194,44.17308253599913,44.20601106900722,None,f,1,0.5950249180023093,44.20601106900722,None,None,None,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,,,Songs can be put in a container,j,,,,,,,,,0,2,2,107,,,,,,,,,,,,,,,,,,,,,,,,44.83918067000923,45.29004171201086,45.30644718100666,None,f,0,0.5844861179939471,45.30644718100666,None,None,None,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
,,,Time is finite,j,,,,,,,,,0,3,3,40,,,,,,,,,,,,,,,,,,,,,,,,45.92294224300713,46.37329586100532,46.4062939860014,None,f,0,0.39280415599932894,46.4062939860014,None,None,None,0,001,2022_Feb_08_1630,InfinityThesisTest5,2021.2.3,59.912867996813446,
