Statement,Correct,n,Fasttext.started_mean,Fasttext.started_raw,Fasttext.started_std,Fasttext.stopped_raw,Timer.started_raw,Timer.stopped_raw,fixcross.started_mean,fixcross.started_raw,fixcross.started_std,fixcross.stopped_mean,fixcross.stopped_raw,fixcross.stopped_std,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,order
A minute is finite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute is infinite,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute has an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute is endless,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute can go on forever,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute cannot be further divided,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
A minute can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch is finite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch is infinite,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch has an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch is endless,j,1.0,48.17417526245117,48.17417526245117,0.0,,,,47.68900680541992,47.68900680541992,0.0,48.139625549316406,48.139625549316406,0.0,0.0,0.0,0.0,'f',0.19964595139026642,0.19964595139026642,0.0,48.17417526245117,48.17417526245117,0.0,,5.0
An inch cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch can go on forever,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch cannot be further divided,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
An inch can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time can be finite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time can be infinite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time can have an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time can be endless,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time can go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time cannot be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Intervals of time can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Spatial intervals can be finite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Spatial intervals can be infinite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Spatial intervals  can have an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Spatial intervals can be endless,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Spatial intervals cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Spatial intervals can go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Spatial intervals cannot be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Spatial intervals can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numerical intervals can be finite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numerical intervals can be infinite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numerical intervals can have an end,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numerical intervals can be endless,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numerical intervals cannot go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numerical intervals can go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numerical intervals cannot be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numerical intervals can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Time is finite,j,1.0,46.40629577636719,46.40629577636719,0.0,,,,45.922943115234375,45.922943115234375,0.0,46.373294830322266,46.373294830322266,0.0,0.0,0.0,0.0,'f',0.3928041458129883,0.3928041458129883,0.0,46.40629577636719,46.40629577636719,0.0,,3.0
Time is infinite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Time has an end,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Time is endless,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Time cannot go on forever,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Time can go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Time cannot be further divided,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Time can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Space is finite,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Space is infinite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Space has an end,j,1.0,50.27366256713867,50.27366256713867,0.0,,,,49.78997802734375,49.78997802734375,0.0,50.24089813232422,50.24089813232422,0.0,0.0,0.0,0.0,'f',0.15407045185565948,0.15407045185565948,0.0,50.27366256713867,50.27366256713867,0.0,,8.0
Space is endless,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Space cannot go on forever,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Space can go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Space cannot be further divided,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Space can be further divided,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers are finite,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers are infinite,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers have an end,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers are endless,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers cannot go on forever,j,1.0,51.60658645629883,51.60658645629883,0.0,,,,51.12396240234375,51.12396240234375,0.0,51.57331085205078,51.57331085205078,0.0,0.0,0.0,0.0,'f',0.16202087700366974,0.16202087700366974,0.0,51.60658645629883,51.60658645629883,0.0,,10.0
Numbers can go on forever,f,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
Numbers cannot be further divided,j,0.0,,,,'--','--','--',,,,,,,,,,'--',,,,,,,'--',
