FastInstructions,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,0,0,0,0,,,,,32.488267378066666,None,e,0.4506392969051376,34.47181737003848,None,,,,,,,,,,,,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,0,1,1,1,,,,,34.98903095303103,None,e,0.04135641804896295,36.971002868027426,None,,,,,,,,,,,,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,0,2,2,2,,,,,37.055424118065275,None,e,0.7937952090287581,39.038321166997775,None,,,,,,,,,,,,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Pelicans are alive,e,,,,,0,0,0,73,,,,,,,39.954952650005,40.40437478502281,40.42182133102324,None,e,1,0.9453354219440371,40.42182133102324,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A minute cannot go on forever,e,,,,,0,1,1,4,,,,,,,41.40518968505785,41.855381470988505,41.88857234001625,None,e,1,3.7254757669288665,41.88857234001625,None,44.88849437835161,45.08930432307534,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Space cannot go on forever,i,,,,,0,2,2,52,,,,,,,45.65555062307976,46.10604639304802,46.13927293906454,None,e,0,1.4856231990270317,46.13927293906454,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Spatial intervals can go on forever,i,,,,,0,3,3,29,,,,,,,47.65686795604415,48.105571903986856,48.139386849012226,None,i,1,2.2583484100177884,48.139386849012226,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Mittens need nutrients,i,,,,,0,4,4,104,,,,,,,50.42314328998327,50.87256548402365,50.90588844008744,None,i,1,1.231794474995695,50.90588844008744,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A triangle is an animal,i,,,,,0,5,5,134,,,,,,,52.15574160404503,52.60580187407322,52.63942677201703,None,e,0,1.0252788390498608,52.63942677201703,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Jupiter is the planet we live on,i,,,,,0,6,6,145,,,,,,,53.69004911999218,54.13978919805959,54.17251326807309,None,i,1,3.5898392730159685,54.17251326807309,None,57.17330783330836,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A motorcycle is a vehicle,e,,,,,0,7,7,123,,,,,,,57.790465875994414,58.23913188104052,58.27336929901503,None,e,1,1.1026588489767164,58.27336929901503,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A rocketship is used to write,i,,,,,0,8,8,151,,,,,,,59.423356655053794,59.87356213305611,59.889729976071976,None,i,1,1.2821549299405888,59.889729976071976,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Frost is composed of matter,e,,,,,0,9,9,99,,,,,,,61.205727272084914,61.65676847402938,61.68993290606886,None,e,1,1.5517342740204185,61.68993290606886,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Tornadoes reproduce,i,,,,,0,10,10,85,,,,,,,63.2733836970292,63.724302369053476,63.75691082805861,None,i,1,1.3398012579418719,63.75691082805861,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Intervals of time can be further divided,e,,,,,0,11,11,23,,,,,,,65.14073094702326,65.59001484198961,65.60678612207994,None,e,1,3.9575894640292972,65.60678612207994,None,68.60749841928482,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Comets are alive,i,,,,,0,12,12,83,,,,,,,69.59047317807563,70.04030478000641,70.07435383403208,None,i,1,3.8527878739405423,70.07435383403208,None,73.07443932134193,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Intervals of time are endless,i,,,,,0,13,13,19,,,,,,,73.95762779004872,74.40788176399656,74.44054908701219,None,i,1,1.6182673620060086,74.44054908701219,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Hammers are alive,i,,,,,0,14,14,102,,,,,,,76.09020643809345,76.54080020007677,76.57373057608493,None,i,1,1.8359725800110027,76.57373057608493,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Mushrooms reproduce,e,,,,,0,15,15,96,,,,,,,78.44096956006251,78.89099171909038,78.9244924960658,None,e,1,1.5910967759555206,78.9244924960658,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Space is endless,e,,,,,0,16,16,51,,,,,,,80.54121279506944,80.99147810798604,81.02461652900092,None,e,1,2.2119006959255785,81.02461652900092,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Spatial intervals are endless,i,,,,,0,17,17,27,,,,,,,83.2577002060134,83.70806603704114,83.74176582798827,None,i,1,1.622504135943018,83.74176582798827,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Spatial intervals have an end,e,,,,,0,18,18,26,,,,,,,85.39230317506008,85.84078088600654,85.87459573405795,None,e,1,1.6305496519198641,85.87459573405795,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Diamonds have a molecular structure,e,,,,,0,19,19,80,,,,,,,87.54133245104458,87.99216707702726,88.02529450703878,None,e,1,1.4228182879742235,88.02529450703878,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Orange is a shape,i,,,,,0,20,20,138,,,,,,,89.47554417303763,89.92489452008158,89.95887141302228,None,i,1,1.6991397850215435,89.95887141302228,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Time is endless,e,,,,,0,21,21,43,,,,,,,91.6918465050403,92.14216270006727,92.15879869798664,None,e,1,1.048058587941341,92.15879869798664,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Music have a molecular structure,i,,,,,0,22,22,90,,,,,,,93.22489222802687,93.67585810599849,93.70813691103831,None,i,1,3.5134741719812155,93.70813691103831,None,96.70846601137892,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Time can go on forever,e,,,,,0,23,23,45,,,,,,,97.24290847906377,97.69172669399995,97.72602442197967,None,e,1,1.1334425079403445,97.72602442197967,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Shadows are composed of matter,i,,,,,0,24,24,89,,,,,,,98.89283969101962,99.34259324904997,99.37586612498853,None,i,1,2.217399199027568,99.37586612498853,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Five cannot be further divided,i,,,,,0,25,25,70,,,,,,,101.64294068003073,102.09279844199773,102.12552488897927,None,i,1,2.1465816309209913,102.12552488897927,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A triangle is a shape,e,,,,,0,26,26,114,,,,,,,104.29265900398605,104.74282459903043,104.77618909499142,None,e,1,1.1117965199518949,104.77618909499142,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Stories are composed of matter,i,,,,,0,27,27,108,,,,,,,105.91032916202676,106.36028139898553,106.39285598904826,None,i,1,1.5240657459944487,106.39285598904826,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
