Statement,Correct,n,Fasttext.started_mean,Fasttext.started_raw,Fasttext.started_std,Fasttext.stopped_raw,Timer.started_raw,Timer.stopped_raw,fixcross.started_mean,fixcross.started_raw,fixcross.started_std,fixcross.stopped_mean,fixcross.stopped_raw,fixcross.stopped_std,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,order
A minute is finite,e,1.0,164.36322021484375,164.36322021484375,0.0,,,,163.88035583496094,163.88035583496094,0.0,164.3301239013672,164.3301239013672,0.0,0.0,0.0,0.0,'i',2.106977939605713,2.106977939605713,0.0,164.36322021484375,164.36322021484375,0.0,,51.0
A minute is infinite,i,1.0,356.8438720703125,356.8438720703125,0.0,,359.84504766929894,,356.3595275878906,356.3595275878906,0.0,356.8104248046875,356.8104248046875,0.0,1.0,1.0,0.0,'i',3.8046212196350098,3.8046212196350098,0.0,356.8438720703125,356.8438720703125,0.0,,119.0
A minute has an end,e,1.0,242.20150756835938,242.20150756835938,0.0,,,,241.71925354003906,241.71925354003906,0.0,242.16964721679688,242.16964721679688,0.0,1.0,1.0,0.0,'e',1.854001760482788,1.854001760482788,0.0,242.20150756835938,242.20150756835938,0.0,,84.0
A minute is endless,i,1.0,186.5818634033203,186.5818634033203,0.0,,,,186.09872436523438,186.09872436523438,0.0,186.54893493652344,186.54893493652344,0.0,1.0,1.0,0.0,'i',1.8450151681900024,1.8450151681900024,0.0,186.5818634033203,186.5818634033203,0.0,,62.0
A minute cannot go on forever,e,1.0,41.888572692871094,41.888572692871094,0.0,,44.88849437835161,45.08930432307534,41.405189514160156,41.405189514160156,0.0,41.85538101196289,41.85538101196289,0.0,1.0,1.0,0.0,'e',3.725475788116455,3.725475788116455,0.0,41.888572692871094,41.888572692871094,0.0,,1.0
A minute can go on forever,i,1.0,195.7501220703125,195.7501220703125,0.0,,198.75092540138866,,195.26516723632812,195.26516723632812,0.0,195.71624755859375,195.71624755859375,0.0,1.0,1.0,0.0,'i',4.356113910675049,4.356113910675049,0.0,195.7501220703125,195.7501220703125,0.0,,65.0
A minute cannot be further divided,i,1.0,306.7232360839844,306.7232360839844,0.0,,309.7237169503234,,306.2561340332031,306.2561340332031,0.0,306.70611572265625,306.70611572265625,0.0,1.0,1.0,0.0,'i',4.278658390045166,4.278658390045166,0.0,306.7232360839844,306.7232360839844,0.0,,103.0
A minute can be further divided,e,1.0,294.5549011230469,294.5549011230469,0.0,,,,294.0729064941406,294.0729064941406,0.0,294.5219421386719,294.5219421386719,0.0,1.0,1.0,0.0,'e',1.517760157585144,1.517760157585144,0.0,294.5549011230469,294.5549011230469,0.0,,99.0
An inch is finite,e,1.0,429.9161682128906,429.9161682128906,0.0,,,,429.43206787109375,429.43206787109375,0.0,429.88214111328125,429.88214111328125,0.0,1.0,1.0,0.0,'e',1.3133461475372314,1.3133461475372314,0.0,429.9161682128906,429.9161682128906,0.0,,146.0
An inch is infinite,i,1.0,304.0227355957031,304.0227355957031,0.0,,,,303.5397033691406,303.5397033691406,0.0,303.9895935058594,303.9895935058594,0.0,1.0,1.0,0.0,'i',2.188744306564331,2.188744306564331,0.0,304.0227355957031,304.0227355957031,0.0,,102.0
