INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,6.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,7.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,f,1,1.736,space,1.537,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,f,1,1.318,space,0.857,0,1,1,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,f,0,1.067,space,0.819,0,2,2,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,j,1,1.349,space,0.602,0,3,3,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,f,1,1.217,space,0.618,0,4,4,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,f,1,1.116,space,0.634,0,5,5,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,j,1,1.07,space,0.434,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,j,1,1.316,space,0.452,0,7,7,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,j,1,1.438,space,0.634,0,8,8,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,f,1,1.233,space,0.385,0,9,9,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,space,0.837,,,,,,,,space,2.735,f,1,1.683,,0,0,0,17,1,Time is infinite,f,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,space,0.501,,,,,,,,,,j,1,1.17,,0,1,1,61,1,Sailboats reproduce,j,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,space,0.4,,,,,,,,,,j,1,1.182,,0,2,2,45,1,The number five can go on forever,j,,,
,,,,,,,1432,2022-04-06_17h36.50.994,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.0240096,,,,,space,0.319,,,,,,,,,,j,1,1,,0,3,3,58,1,Clocks are alive,j,,,
