INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,endstudykey.keys
space,11.0842,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,
space,21.5394,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,0,space,2.7776,0,0,0,0,1,A circle is a shape,f,,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,f,1,space,1.383,0,1,1,3,1,A clock is used to tell time,f,1.5158,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,j,1,space,2.8406,0,2,2,6,1,Jupiter is the planet we live on,j,2.9804,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,j,0,space,1.4372,0,3,3,1,1,Dinosaurs are extinct,f,1.3815,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,f,1,space,3.6935,0,4,4,4,1,Humans cannot breathe water,f,2.9642,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,j,1,space,3.1858,0,5,5,7,1,The Earth is a star,j,1.1728,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,j,1,space,0.934,0,6,6,5,1,A truck is an animal,j,1.334,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,f,1,space,0.555,0,7,7,2,1,Magenta is a color,f,1.235,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,j,1,space,0.5506,0,8,8,8,1,Mississippi is a country,j,1.298,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,f,0,space,1.4414,0,9,9,9,1,Humans cannot eat food,j,1.5156,,,,,,,,,,,,,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,2.1376,,,,,,,,,,f,1,2.4051,,0,0,0,57,1,Rocks have a molecular structure,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.8314,,,,,,,,,,f,0,1.7152,,0,1,1,114,1,Lightbulbs are made of clay,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7342,,,,,,,,,,f,1,1.4394,,0,2,2,99,1,A motorcycle is a vehicle,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.9032,,,,,,,,,,j,1,1.3866,,0,3,3,18,1,Time has an end,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.2238,,,,,,,,,,j,1,1.8514,,0,4,4,36,1,Numbers cannot go on forever,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7506,,,,,,,,,,f,1,0.9732,,0,5,5,48,1,Crocodiles are alive,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,8.3342,,,,,,,,,,f,1,3.286,,0,6,6,15,1,An inch can be always further divided,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.0522,,,,,,,,,,f,0,3.2575,,0,7,7,46,1,The number five cannot always be further divided,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.9003,,,,,,,,,,j,1,1.0884,,0,8,8,78,1,Hammers are alive,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6841,,,,,,,,,,f,1,1.2321,,0,9,9,50,1,Turtles need nutrients,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.9929,,,,,,,,,,j,0,1.0527,,0,10,10,107,1,A pencil is used to write,f,
