INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,endstudykey.keys,endstudykey.rt
space,8.0585,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.4015,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,25.1258,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.1175,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.9237,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,j,1,1.7061,space,1.2352,0,0,0,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,f,1,1.7259,space,0.6846,0,1,1,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,j,1,1.3839,space,0.451,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,j,0,2.8605,space,0.6416,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,f,1,1.4699,space,0.3994,0,4,4,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,f,1,1.5835,space,0.3505,0,5,5,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,f,1,1.2841,space,0.4184,0,6,6,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,j,1,1.4094,space,0.61,0,7,7,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,j,1,1.5943,space,0.4675,0,8,8,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,j,1,2.4711,space,0.3877,0,9,9,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,space,0.689,,,,,,,,space,2.6716,j,0,2.881,,0,0,0,47,1,The number five can always be further divided,f,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,space,0.431,,,,,,,,,,j,0,2.3486,,0,1,1,73,1,Bubbles can be put in a container,f,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,space,0.5785,,,,,,,,,,f,1,1.577,,0,2,2,35,1,Numbers are endless,f,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,space,0.4001,,,,,,,,,,f,1,1.4635,,0,3,3,68,1,Algae is alive,f,,
,,,,,,,,1490,2022-04-06_17h36.48.165,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.36095853,,,,space,0.4011,,,,,,,,,,f,0,2.1108,,0,4,4,46,1,The number five cannot always be further divided,j,,
