INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,Advance_Resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,10.1792,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,21.1454,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,18.6481,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.2584,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.5137,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,f,1,1.7179,,0,0,0,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,f,0,3.3414,space,0,1,1,9,1,Humans cannot eat food,j,1.3688,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,j,1,1.9973,space,0,2,2,5,1,A truck is an animal,j,1.1553,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,f,1,1.9893,space,0,3,3,1,1,Dinosaurs are extinct,f,1.1264,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,j,1,1.5113,space,0,4,4,7,1,The Earth is a star,j,0.9616,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,f,1,1.5492,space,0,5,5,2,1,Magenta is a color,f,1.0339,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,f,1,1.5894,space,0,6,6,3,1,A clock is used to tell time,f,0.8703,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,f,1,1.5869,space,0,7,7,4,1,Humans cannot breathe water,f,0.9226,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,j,1,1.825,space,0,8,8,6,1,Jupiter is the planet we live on,j,0.7803,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,j,1,1.4814,space,0,9,9,8,1,Mississippi is a country,j,0.7575,,,,,,,,,,,,,,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,1.1693,space,3.3553,f,1,2.3931,,0,0,0,72,1,Mushrooms reproduce,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.9385,,,j,1,2.6564,,0,1,1,32,1,Numbers are finite,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,1.0244,,,j,1,2.3781,,0,2,2,86,1,Words have a molecular structure,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.7629,,,f,1,3.4011,,0,3,3,47,1,The number five can always be further divided,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.6286,,,f,1,2.0588,,0,4,4,17,1,Time is infinite,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.6499,,,j,1,1.123,,0,5,5,78,1,Hammers are alive,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.7442,,,f,1,2.1112,,0,6,6,55,1,Concrete is composed of matter,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.736,,,j,1,3.381,,0,7,7,41,1,The number five is infinite,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.7349,,,j,1,2.8893,,0,8,8,66,1,Music has a molecular structure,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.5297,,,f,1,0.9337,,0,9,9,52,1,Frogs reproduce,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.7035,,,j,1,2.006,,0,10,10,18,1,Time has an end,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3449,,,f,1,2.8509,,0,11,11,31,1,Space can always be further divided,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.6792,,,f,1,1.3339,,0,12,12,102,1,The Earth is a planet,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3575,,,j,1,1.6369,,0,13,13,87,1,Dreams have a molecular structure,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3335,,,j,1,1.9119,,0,14,14,125,1,There are ninty states in the United States,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.4031,,,f,1,1.402,,0,15,15,97,1,Dolphins can swim in the ocean,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.4604,,,f,1,1.5135,,0,16,16,56,1,Diamonds have a molecular structure,f,,,
