INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,1.927,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.5424,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.7677,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.0429,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.4555,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,j,1,0.9418,space,0.5723,0,0,0,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,j,1,1.2462,space,0.1279,0,1,1,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,f,1,1.315,space,0.1364,0,2,2,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,j,1,0.7618,space,0.1097,0,3,3,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,f,1,0.7006,space,0.1042,0,4,4,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,f,1,0.916,space,0.1211,0,5,5,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,2109,2022-04-06_19h06.03.943,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,55.26999392,f,1,0.9359,space,0.1216,0,6,6,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
