INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,Advance_Resp.rt,key_resp.rt,encouragekey.rt,endstudykey.keys
space,21.967,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,0,0,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,1,1,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,2,2,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,3,3,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,4,4,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,6,6,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,7,7,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,8,8,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,0,9,9,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,0,,0,0,0,105,1,There are fifty states in the United States,f,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,0,,0,1,1,113,1,Magenta is a shape,j,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,0,,0,2,2,86,1,Words have a molecular structure,j,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,0,,0,3,3,75,1,Frost is composed of matter,f,,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,,0,,0,4,4,82,1,Stones reproduce,j,4.729,,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,5,5,84,1,Silence is composed of matter,j,1.245,1.382,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,0,,0,6,6,36,1,Numbers cannot go on forever,j,1.112,2.292,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,7,7,64,1,Echoes are composed of matter,j,0.76,2.177,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,8,8,0,1,A minute is finite,f,0.545,1.564,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,9,9,23,1,Time can always be further divided,f,0.519,1.837,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,10,10,127,1,A zebra is used to write,j,0.387,1.547,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,11,11,104,1,The United States has a president,f,0.293,1.397,,
