INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,7.1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,3.68437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,2.433965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,j,1,1.623735,space,1.548945,0,0,0,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,0,1.42906,space,1.08011,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,j,1,1.22568,space,0.89279,0,2,2,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,1,1.216055,space,0.581845,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,1,1.078095,space,0.55007,0,4,4,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,1,1.15627,space,0.547515,0,5,5,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,j,1,0.957515,space,0.52914,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,0,1.059585,space,0.499535,0,7,7,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,3577,2022-04-06_18h17.24,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,30.00120005,,f,1,0.97588,space,0.458745,0,8,8,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
