INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,19.692,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,12.936,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,10.889,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,4.965,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,j,0,1.776,space,1.684,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,f,1,1.296,space,1.802,0,1,1,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,f,1,1.137,space,0.84,0,2,2,2,1,Magenta is a color,f,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,f,1,1.088,space,0.715,0,3,3,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,j,1,1.168,space,0.469,0,4,4,8,1,Mississippi is a country,j,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,j,1,1.637,space,0.54,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,j,1,1.933,space,0.271,0,6,6,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,f,1,1.167,space,0.325,0,7,7,0,1,A circle is a shape,f,,,,,,,,,,,,,,
