INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,2.26,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.319,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.248,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.229,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.785,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,j,1,2.149,space,6.148,0,0,0,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,j,1,1.367,space,0.795,0,1,1,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,f,1,2.24,space,0.839,0,2,2,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,j,1,1.463,space,0.585,0,3,3,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,f,1,1.807,space,0.655,0,4,4,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,f,1,1.839,space,0.621,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,j,1,1.798,space,0.539,0,6,6,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,j,1,1.789,space,0.477,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,f,1,1.055,space,0.675,0,8,8,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,f,1,2.184,space,0.578,0,9,9,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,space,0.357,,,,,,,,space,0.666,j,1,1.98,,0,0,0,118,1,A horse is used to tell time,j,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,space,1.554,,,,,,,,,,j,0,2.097,,0,1,1,19,1,Time is endless,f,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,space,0.992,,,,,,,,,,j,1,2.456,,0,2,2,65,1,Shadows are composed of matter,j,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,space,0.265,,,,,,,,,,j,1,1.818,,0,3,3,59,1,Comets are alive,j,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,space,0.22,,,,,,,,,,f,0,1.933,,0,4,4,67,1,Gravity has a molecular structure,j,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,space,0.198,,,,,,,,,,f,1,1.873,,0,5,5,54,1,Dumbells are composed of matter,f,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,space,0.212,,,,,,,,,,j,1,1.864,,0,6,6,34,1,Numbers have an end,j,,
,,,,,,,,3758,2022-04-06_18h15.47.505,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.89099838,,,,space,0.302,,,,,,,,,,f,1,1.894,,0,7,7,7,1,A minute can always be further divided,f,,
