INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,FastLoop.order
space,11.427,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,
space,10.251,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.83,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.989,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.668,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,1.285,space,1.514,0,0,0,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,2.037,space,0.648,0,1,1,0,1,A circle is a shape,f,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,0,0.938,space,1.198,0,2,2,8,1,Mississippi is a country,j,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,1.588,space,1.531,0,3,3,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,0,3.847,space,3.483,0,4,4,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,space,0.766,0,5,5,7,1,The Earth is a star,j,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,space,2.181,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,space,0.202,0,7,7,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,1.418,space,2.207,0,8,8,2,1,Magenta is a color,f,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,0,,space,3.771,0,9,9,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.533,,,,,,,,,j,0,2.017,,0,0,0,44,1,The number five cannot go on forever,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.248,,,,,,,,,f,1,0.999,,0,1,1,25,1,Space is infinite,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,2.367,,,,,,,,,f,0,1.988,,0,2,2,6,1,A minute cannot always be further divided,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.048,,,,,,,,,f,1,1.479,,0,3,3,7,1,A minute can always be further divided,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.737,,,,,,,,,f,1,1.629,,0,4,4,40,1,The number five is finite,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.993,,,,,,,,,j,0,1.171,,0,5,5,12,1,An inch cannot go on forever,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.839,,,,,,,,,j,0,1.205,,0,6,6,31,1,Space can always be further divided,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.275,,,,,,,,,j,0,1.152,,0,7,7,52,1,Frogs reproduce,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.051,,,,,,,,,j,0,0.983,,0,8,8,92,1,Dinosaurs are extinct,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.452,,,,,,,,,,0,,,0,9,9,4,1,A minute cannot go on forever,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.855,,,,,,,,,f,0,1.43,,0,10,10,26,1,Space has an end,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.242,,,,,,,,,f,1,1.195,,0,11,11,8,1,An inch is finite,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.792,,,,,,,,,f,1,1.138,,0,12,12,49,1,Pelicans are alive,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.054,,,,,,,,,j,0,1.301,,0,13,13,37,1,Numbers can go on forever,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.084,,,,,,,,,f,1,1.586,,0,14,14,100,1,A truck is a vehicle,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.822,,,,,,,,,f,0,1.147,,0,15,15,5,1,A minute can go on forever,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.706,,,,,,,,,j,1,1.191,,0,16,16,59,1,Comets are alive,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.21,,,,,,,,,f,0,1.905,,0,17,17,112,1,Dinosaurs are not extinct,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.896,,,,,,,,,f,1,1.514,,0,18,18,90,1,A triangle is not an animal,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.779,,,,,,,,,j,1,1.511,,0,19,19,20,1,Time cannot go on forever,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.7,,,,,,,,,j,0,1.648,,0,20,20,33,1,Numbers are infinite,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.666,,,,,,,,,f,1,1.215,,0,21,21,105,1,There are fifty states in the United States,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.741,,,,,,,,,j,0,1.217,,0,22,22,72,1,Mushrooms reproduce,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.284,,,,,,,,,f,1,1.201,,0,23,23,94,1,Orange is a color,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.859,,,,,,,,,j,1,0.894,,0,24,24,58,1,Clocks are alive,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.889,,,,,,,,,f,0,1.153,,0,25,25,16,1,Time is finite,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.667,,,,,,,,,j,1,1.334,,0,26,26,118,1,A horse is used to tell time,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.102,,,,,,,,,f,0,1.136,,0,27,27,62,1,Helicopters reproduce,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.689,,,,,,,,,j,1,1.69,,0,28,28,81,1,Tables reproduce,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.834,,,,,,,,,f,0,1.298,,0,29,29,60,1,Robots need nutrients,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.635,,,,,,,,,j,1,1.467,,0,30,30,18,1,Time has an end,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.804,,,,,,,,,f,0,1.202,,0,31,31,121,1,Jupiter is the planet we live on,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.638,,,,,,,,,f,1,1.95,,0,32,32,74,1,Foam is composed of matter,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.753,,,,,,,,,j,1,1.38,,0,33,33,127,1,A zebra is used to write,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.699,,,,,,,,,f,0,1.502,,0,34,34,86,1,Words have a molecular structure,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.702,,,,,,,,,f,0,1.204,,0,35,35,34,1,Numbers have an end,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.573,,,,,,,,,f,1,1.655,,0,36,36,56,1,Diamonds have a molecular structure,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.591,,,,,,,,,f,1,1.35,,0,37,37,68,1,Algae is alive,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.921,,,,,,,,,j,0,1.485,,0,38,38,23,1,Time can always be further divided,f,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.565,,,,,,,,,j,1,1.667,,0,39,39,28,1,Space cannot go on forever,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,1.822,,,,,,,,,f,1,1.534,space,0,40,40,35,1,Numbers are endless,f,2.124,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.666,,,,,,,,,f,0,1.429,,0,41,41,114,1,Lightbulbs are made of clay,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.706,,,,,,,,,j,1,1.197,,0,42,42,78,1,Hammers are alive,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.521,,,,,,,,,j,1,1.728,,0,43,43,83,1,Songs can be put in a container,j,,
,,,,,,,,4183,2022-04-06_16h21.47.907,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.504,,,,,,,,,j,1,1.316,,0,44,44,80,1,Mittens need nutrients,j,,
