INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,3.8475,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,3.738,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,11.1687,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,1.0395,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,j,1,2.6769,space,1.2841,0,0,0,7,1,The Earth is a star,j,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,j,1,2.4565,space,1.6153,0,1,1,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,j,1,1.2079,space,0.7946,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,f,1,0.9901,space,0.7232,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,f,1,1.8864,space,0.6344,0,4,4,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,j,0,1.3663,space,2.7687,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,f,1,2.8546,space,0.7566,0,6,6,0,1,A circle is a shape,f,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,f,1,1.2564,space,0.4602,0,7,7,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,j,1,1.4376,space,0.3045,0,8,8,8,1,Mississippi is a country,j,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,j,1,1.3023,space,0.3135,0,9,9,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,2.3012,,,,,,,,,,0,,0,0,0,8,1,An inch is finite,f,,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,6.0508,,,,,,,,,j,1,,0,1,1,14,1,An inch cannot always be further divided,j,2.7904,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,1.0997,,,,,,,,,j,1,,0,2,2,116,1,Fish cannot swim in the ocean,j,3.2454,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.411,,,,,,,,,f,1,,0,3,3,12,1,An inch cannot go on forever,f,2.7945,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.3685,,,,,,,,,f,1,,0,4,4,99,1,A motorcycle is a vehicle,f,1.4608,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.8265,,,,,,,,,f,1,,0,5,5,0,1,A minute is finite,f,3.8299,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.41,,,,,,,,,f,1,,0,6,6,19,1,Time is endless,f,1.4872,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2561,,,,,,,,,f,0,,0,7,7,86,1,Words have a molecular structure,j,1.3058,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2762,,,,,,,,,j,1,,0,8,8,3,1,A minute is endless,j,1.2479,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2287,,,,,,,,,j,1,,0,9,9,11,1,An inch is endless,j,1.1721,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2174,,,,,,,,,j,1,,0,10,10,126,1,Humans can breathe water,j,1.1705,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.3007,,,,,,,,,f,1,,0,11,11,100,1,A truck is a vehicle,f,1.2708,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.228,,,,,,,,,j,1,,0,12,12,82,1,Stones reproduce,j,1.1541,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2707,,,,,,,,,f,1,,0,13,13,95,1,Yellow is a color,f,1.0266,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1698,,,,,,,,,j,1,,0,14,14,41,1,The number five is infinite,j,1.2029,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2231,,,,,,,,,f,1,,0,15,15,17,1,Time is infinite,f,1.0268,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2006,,,,,,,,,j,1,,0,16,16,110,1,A triangle is an animal,j,1.0661,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2615,,,,,,,,,f,0,,0,17,17,34,1,Numbers have an end,j,1.199,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.4746,,,,,,,,,f,1,,0,18,18,54,1,Dumbells are composed of matter,f,1.802,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.202,,,,,,,,,f,1,,0,19,19,48,1,Crocodiles are alive,f,1.4023,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1953,,,,,,,,,f,1,,0,20,20,47,1,The number five can always be further divided,f,1.7588,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.9025,,,,,,,,,f,1,,0,21,21,33,1,Numbers are infinite,f,1.3894,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.274,,,,,,,,,f,0,,0,22,22,121,1,Jupiter is the planet we live on,j,2.3006,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2397,,,,,,,,,f,1,,0,23,23,39,1,Numbers can always be further divided,f,2.0698,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.3736,,,,,,,,,j,1,,0,24,24,26,1,Space has an end,j,1.6809,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.3157,,,,,,,,,j,0,,0,25,25,40,1,The number five is finite,f,1.7671,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.3761,,,,,,,,,j,1,,0,26,26,127,1,A zebra is used to write,j,1.3693,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2888,,,,,,,,,f,1,,0,27,27,10,1,An inch has an end,f,1.0136,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2545,,,,,,,,,j,1,,0,28,28,117,1,Dolphins cannot swim in the ocean,j,1.5341,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2728,,,,,,,,,j,1,,0,29,29,20,1,Time cannot go on forever,j,1.3111,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.9141,,,,,,,,,j,1,,0,30,30,65,1,Shadows are composed of matter,j,1.3099,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2016,,,,,,,,,f,1,,0,31,31,93,1,Magenta is a color,f,0.8722,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1637,,,,,,,,,j,1,,0,32,32,62,1,Helicopters reproduce,j,0.9845,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.3505,,,,,,,,,f,1,,0,33,33,73,1,Bubbles can be put in a container,f,1.6104,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1686,,,,,,,,,j,1,,0,34,34,81,1,Tables reproduce,j,0.8864,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2227,,,,,,,,,f,0,,0,35,35,66,1,Music has a molecular structure,j,1.3488,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1711,,,,,,,,,f,1,,0,36,36,21,1,Time can go on forever,f,1.0158,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.3094,,,,,,,,,f,0,,0,37,37,45,1,The number five can go on forever,j,0.9364,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1674,,,,,,,,,j,1,,0,38,38,32,1,Numbers are finite,j,1.3485,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.3003,,,,,,,,,f,1,,0,39,39,74,1,Foam is composed of matter,f,1.5427,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,1.65,,,,,,,,,j,1,space,0,40,40,112,1,Dinosaurs are not extinct,j,0.9306,0.8387,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1653,,,,,,,,,j,1,,0,41,41,22,1,Time cannot always be further divided,j,1.3493,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1996,,,,,,,,,f,1,,0,42,42,76,1,Pollen has a molecular structure,f,1,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1178,,,,,,,,,j,1,,0,43,43,109,1,A square is a color,j,1.133,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1452,,,,,,,,,f,1,,0,44,44,2,1,A minute has an end,f,1.322,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1426,,,,,,,,,f,1,,0,45,45,91,1,A circle is a shape,f,0.8645,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2306,,,,,,,,,f,1,,0,46,46,72,1,Mushrooms reproduce,f,1.7253,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.105,,,,,,,,,f,1,,0,47,47,105,1,There are fifty states in the United States,f,1.1717,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.2342,,,,,,,,,f,1,,0,48,48,69,1,Bacteria are alive,f,0.8576,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,0.1681,,,,,,,,,j,1,,0,49,49,1,1,A minute is infinite,j,1.3867,,
,,,,,,,4863,2022-04-06_17h01.16.410,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.08893162,,,,,space,1.455,,,,,,,,,j,1,,0,50,50,85,1,Thoughts are composed of matter,j,1.6863,,
