INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys
space,7.8429,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,20.7605,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,21.9727,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.8298,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.6691,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,f,1,1.4887,space,1.0288,0,0,0,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,j,1,1.7732,space,0.9051,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,f,1,1.3894,space,0.6285,0,2,2,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,j,0,1.6349,space,0.8971,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,f,1,0.9131,space,0.6425,0,4,4,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,f,1,1.3717,space,0.6061,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,j,1,1.3321,space,0.4712,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,j,1,1.219,space,0.5516,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,j,1,1.3294,space,0.3897,0,8,8,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,j,1,1.3791,space,0.396,0,9,9,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
