INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,14.8225,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.0571,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.5143,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.9405,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.8762,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,j,1,1.9796,space,1.5232,0,0,0,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,f,1,1.7752,space,3.6483,0,1,1,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,f,0,1.657,space,4.0791,0,2,2,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,f,0,1.5087,space,3.0268,0,3,3,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,j,0,1.6584,space,1.1234,0,4,4,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,f,1,1.2573,space,1.078,0,5,5,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,f,0,1.5408,space,1.2887,0,6,6,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,f,1,1.5414,space,1.1088,0,7,7,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,j,0,1.5251,space,1.4393,0,8,8,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,f,0,1.3613,space,1.6594,0,9,9,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,1.4054,,,,,,,,space,5.0359,,0,,0,0,0,127,1,A zebra is used to write,j,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,1.6449,,,,,,,,,,,0,,0,1,1,32,1,Numbers are finite,j,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,1.3296,,,,,,,,,,f,1,,0,2,2,12,1,An inch cannot go on forever,f,1.907,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,0.5102,,,,,,,,,,f,0,,0,3,3,116,1,Fish cannot swim in the ocean,j,2.058,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,1.4602,,,,,,,,,,f,0,,0,4,4,45,1,The number five can go on forever,j,1.7396,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,4.412,,,,,,,,,,,0,,0,5,5,39,1,Numbers can always be further divided,f,,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,1.3434,,,,,,,,,,j,1,,0,6,6,1,1,A minute is infinite,j,1.5249,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,0.695,,,,,,,,,,j,0,,0,7,7,55,1,Concrete is composed of matter,f,1.7414,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,0.7601,,,,,,,,,,f,1,,0,8,8,8,1,An inch is finite,f,1.5912,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,0.5917,,,,,,,,,,j,1,,0,9,9,121,1,Jupiter is the planet we live on,j,1.5742,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,1.0234,,,,,,,,,,j,0,,0,10,10,2,1,A minute has an end,f,1.4068,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,1.1582,,,,,,,,,,f,0,,0,11,11,123,1,Mississippi is a country,j,1.2231,,,
,,,,,,,,5173,2022-04-06_18h57.12.241,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.56647688,,,,space,0.5586,,,,,,,,,,f,1,,0,12,12,95,1,Yellow is a color,f,1.1904,,,
