INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,1.3507,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.4812,0,1,1,1,1,"Each statement will appear on your screen for up to 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.672,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.4115,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.5411,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,j,1,1.6749,space,0.9308,0,0,0,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,j,0,1.9736,space,0.3687,0,1,1,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,j,1,3.7649,space,0.6219,0,2,2,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,f,1,0.6898,space,0.2126,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,f,1,1.0494,space,0.2133,0,4,4,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,j,1,0.8908,space,0.1347,0,5,5,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,j,1,2.1075,space,0.1864,0,6,6,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,j,1,1.2222,space,0.2007,0,7,7,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,f,1,0.631,space,0.22,0,8,8,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,f,1,0.6918,space,0.1925,0,9,9,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1284,,,,,,,,space,1.2202,j,1,0.9253,,0,0,0,82,1,Clocks are alive,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1668,,,,,,,,,,j,1,1.0567,,0,1,1,65,1,Five is infinite,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1,,,,,,,,,,j,1,0.9749,,0,2,2,150,1,Humans can breathe water,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.2284,,,,,,,,,,f,1,0.9249,,0,3,3,100,1,Pollen has a molecular structure,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.2097,,,,,,,,,,f,1,1.0602,,0,4,4,77,1,Bricks can be put in a container,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1538,,,,,,,,,,j,1,1.3083,,0,5,5,58,1,Numbers have an end,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1343,,,,,,,,,,j,1,1.2614,,0,6,6,56,1,Numbers are finite,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.195,,,,,,,,,,f,1,0.9849,,0,7,7,116,1,Dinosaurs are extinct,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1554,,,,,,,,,,f,1,0.7753,,0,8,8,75,1,Tigers reproduce,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1436,,,,,,,,,,f,1,1.4002,,0,9,9,49,1,Space is infinite,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1519,,,,,,,,,,j,1,0.8621,,0,10,10,108,1,Silence is composed of matter,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.184,,,,,,,,,,f,1,1.0188,,0,11,11,123,1,A motorcycle is a vehicle,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1765,,,,,,,,,,j,1,1.3493,,0,12,12,102,1,Hammers are alive,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1773,,,,,,,,,,f,1,0.6752,,0,13,13,72,1,Crocodiles are alive,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1438,,,,,,,,,,f,1,3.2183,,0,14,14,43,1,Time is endless,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1024,,,,,,,,,,j,1,3.9477,,0,15,15,144,1,A truck is an animal,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1564,,,,,,,,,,j,1,2.426,,0,16,16,106,1,Stones reproduce,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1907,,,,,,,,,,f,1,1.6526,,0,17,17,12,1,An inch cannot go on forever,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1507,,,,,,,,,,j,1,1.248,,0,18,18,151,1,A zebra is used to write,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1266,,,,,,,,,,j,1,0.9909,,0,19,19,67,1,Five is endless,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1574,,,,,,,,,,f,1,1.8387,,0,20,20,120,1,Humans can drink water,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1367,,,,,,,,,,f,1,0.8639,,0,21,21,129,1,There are fifty states in the United States,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1105,,,,,,,,,,j,1,1.0144,,0,22,22,91,1,Gravity has a molecular structure,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1284,,,,,,,,,,f,1,0.6491,,0,23,23,117,1,Magenta is a color,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1311,,,,,,,,,,j,1,1.1111,,0,24,24,137,1,Magenta is a shape,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1327,,,,,,,,,,f,1,0.9308,,0,25,25,57,1,Numbers are infinite,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1249,,,,,,,,,,f,1,2.5839,,0,26,26,27,1,Spatial intervals can be endless,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1335,,,,,,,,,,f,1,1.3616,,0,27,27,18,1,Intervals of time can have an end,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.3861,,,,,,,,,,f,0,4.9506,,0,28,28,140,1,Humans can breathe water,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1238,,,,,,,,,,j,0,1.3862,,0,29,29,78,1,Dumbells are composed of matter,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1198,,,,,,,,,,j,1,2.7069,,0,30,30,62,1,Numbers cannot be further divided,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1167,,,,,,,,,,f,1,0.753,,0,31,31,95,1,Oaks reproduce,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1184,,,,,,,,,,f,1,1.7903,,0,32,32,130,1,Humans cannot breathe water,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1073,,,,,,,,,,j,1,0.9479,,0,33,33,132,1,This sentence is written in Spanish,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.0843,,,,,,,,,,f,0,2.5492,,0,34,34,52,1,Space cannot go on forever,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1195,,,,,,,,,,j,0,2.1507,,0,35,35,36,1,Numerical intervals cannot go on forever,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1192,,,,,,,,,,f,1,0.7629,,0,36,36,96,1,Mushrooms reproduce,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1243,,,,,,,,,,f,1,0.7821,,0,37,37,76,1,Frogs reproduce,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1355,,,,,,,,,,f,1,2.3712,,0,38,38,61,1,Numbers can go on forever,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.8871,,,,,,,,,,,0,,,0,39,39,20,1,Intervals of time cannot go on forever,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.5922,,,,,,,,,,f,1,3.39,space,0,40,40,39,1,Numerical intervals can be further divided,f,1.9179,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.0868,,,,,,,,,,j,1,3.5324,,0,41,41,3,1,A minute is endless,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1186,,,,,,,,,,f,1,3.6805,,0,42,42,28,1,Spatial intervals cannot go on forever,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.101,,,,,,,,,,f,1,1.7377,,0,43,43,0,1,A minute is finite,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1668,,,,,,,,,,j,1,1.225,,0,44,44,48,1,Space is finite,j,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.0899,,,,,,,,,,f,1,3.6992,,0,45,45,97,1,Bubbles can be put in a container,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.084,,,,,,,,,,f,1,3.6489,,0,46,46,29,1,Spatial intervals can go on forever,f,,,
,,,,,,,,5383Timing,2022-02-21_16h07.38.401,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1324,,,,,,,,,,f,1,1.106,,0,47,47,131,1,A pencil is used to write,f,,,
