INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt
space,5.253,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,,,,,,,,,,,,,,,,,,,,,,,,
space,0.1349,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,,,,,,,,,,,,,,,,,,,,,,,,
space,1.3814,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,,,,,,,,,,,,,,,,,,,,,,,,
space,0.7672,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,,,,,,,,,,,,,,,,,,,,,,,,
space,0.797,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,f,1,1.7129,space,0.8442,0,0,0,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,j,1,1.1027,space,0.6098,0,1,1,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,f,1,1.1661,space,0.5242,0,2,2,0,1,A circle is a shape,f,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,j,1,1.0951,space,0.4375,0,3,3,7,1,The Earth is a star,j,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,f,1,0.956,space,0.4526,0,4,4,4,1,Humans cannot breathe water,f,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,f,1,1.2334,space,0.788,0,5,5,2,1,Magenta is a color,f,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,j,1,1.5168,space,0.6056,0,6,6,9,1,Humans cannot eat food,j,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,j,1,1.2599,space,0.4207,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,f,1,0.9459,space,0.2372,0,8,8,3,1,A clock is used to tell time,f,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,j,1,1.0245,space,0.398,0,9,9,5,1,A truck is an animal,j,,,,,,,,,,,,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,,,,space,6.2744,,,,,,,,,,0,,0,0,0,86,1,Words have a molecular structure,j,
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,,,,space,0.8555,,,,,,,,,f,1,,0,1,1,44,1,The number five cannot go on forever,f,1.9623
,,,,,,,,5887,2022-04-06_19h20.13.888,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,164.095832,,,,,,,,,,,,,,,0,,0,2,2,7,1,A minute can always be further divided,f,
