INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,20.7295,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,19.5558,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,10.8071,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,8.366,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.0834,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,,0,space,2.1917,0,0,0,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,j,0,space,1.5394,0,1,1,4,1,Humans cannot breathe water,f,2.9435,,,,,,,,,,,,,,,
,,,,,,,,6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,j,1,space,1.0443,0,2,2,7,1,The Earth is a star,j,1.4101,,,,,,,,,,,,,,,
,,,,,,,,6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,j,1,space,0.8292,0,3,3,8,1,Mississippi is a country,j,1.3746,,,,,,,,,,,,,,,
,,,,,,,,6279,2022-04-06_17h58.14.200,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.66120716,j,1,space,1.8055,0,4,4,5,1,A truck is an animal,j,1.471,,,,,,,,,,,,,,,
