INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,9.8254,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,10.7809,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,12.8701,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.4731,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.8126,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,0,space,1.9154,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,f,0,space,1.3562,0,1,1,8,1,Mississippi is a country,j,2.9856,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,f,0,space,3.505,0,2,2,6,1,Jupiter is the planet we live on,j,1.9003,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,j,0,space,3.2879,0,3,3,1,1,Dinosaurs are extinct,f,3.1682,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,j,0,space,3.8829,0,4,4,0,1,A circle is a shape,f,1.6132,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,f,0,space,3.5341,0,5,5,9,1,Humans cannot eat food,j,2.339,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,j,0,space,4.0066,0,6,6,3,1,A clock is used to tell time,f,1.8152,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,f,0,space,3.9143,0,7,7,5,1,A truck is an animal,j,1.7993,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,f,0,space,4.4044,0,8,8,7,1,The Earth is a star,j,1.938,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,j,0,space,2.426,0,9,9,2,1,Magenta is a color,f,1.7559,,,,,,,,,,,,,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,2.3674,,,,,,,,,,j,0,2.8786,,0,0,0,10,1,An inch has an end,f,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,2.4217,,,,,,,,,,j,0,1.8591,,0,1,1,90,1,A triangle is not an animal,f,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,1.7748,,,,,,,,,,f,0,1.3302,,0,2,2,61,1,Sailboats reproduce,j,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,3.275,,,,,,,,,,j,0,2.5359,,0,3,3,71,1,Oaks reproduce,f,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,2.3877,,,,,,,,,,f,0,2.449,,0,4,4,112,1,Dinosaurs are not extinct,j,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,1.3074,,,,,,,,,,f,1,1.466,,0,5,5,8,1,An inch is finite,f,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,2.5238,,,,,,,,,,f,1,1.8344,,0,6,6,39,1,Numbers can always be further divided,f,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,4.0046,,,,,,,,,,j,0,2.0007,,0,7,7,89,1,A square is a shape,f,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,1.2393,,,,,,,,,,j,0,1.2001,,0,8,8,97,1,Dolphins can swim in the ocean,f,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,4.3016,,,,,,,,,,f,1,1.6906,,0,9,9,74,1,Foam is composed of matter,f,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,0.7832,,,,,,,,,,f,0,1.2821,,0,10,10,118,1,A horse is used to tell time,j,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,1.9845,,,,,,,,,,f,0,1.2036,,0,11,11,122,1,The Earth is a star,j,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,0.638,,,,,,,,,,f,0,0.9092,,0,12,12,79,1,Forks are alive,j,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,0.7347,,,,,,,,,,f,0,1.1684,,0,13,13,115,1,Yellow is an animal,j,,,
,,,,,,,,6619,2022-04-06_16h09.05.357,ImplicitInfinitySC-FASTTASK,2021.2.3,Linux x86_64,60.0060006,,,space,1.6188,,,,,,,,,,j,0,1.4827,,0,14,14,70,1,Grass needs nutrients,f,,,
