INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,,,,,,,,,,,,,,,,,,,,,
,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,17.2945,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,6.7693,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,f,1,1.1122,space,0.9703,0,0,0,0,1,A circle is a shape,f,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,j,1,0.9982,space,0.7853,0,1,1,5,1,A truck is an animal,j,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,j,1,1.0374,space,1.2193,0,2,2,8,1,Mississippi is a country,j,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,j,1,1.0765,space,1.6187,0,3,3,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,j,1,1.1308,space,0.6455,0,4,4,7,1,The Earth is a star,j,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,j,1,0.908,space,0.3705,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,f,1,1.5585,space,0.4113,0,6,6,4,1,Humans cannot breathe water,f,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,f,1,1.0444,space,0.8846,0,7,7,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,f,1,0.7937,space,0.6382,0,8,8,2,1,Magenta is a color,f,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,f,1,1.0556,space,0.338,0,9,9,3,1,A clock is used to tell time,f,,,,,,,,,,,,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,space,1.7086,,,,,,,,,,0,,0,0,0,36,1,Numbers cannot go on forever,j,
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,space,1.6462,,,,,,,,,j,1,,0,1,1,9,1,An inch is infinite,j,2.0503
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,space,0.5716,,,,,,,,,j,0,,0,2,2,39,1,Numbers can always be further divided,f,0.6339
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,space,0.739,,,,,,,,,f,0,,0,3,3,127,1,A zebra is used to write,j,0.162
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,space,0.0426,,,,,,,,,f,1,,0,4,4,53,1,Bricks can be put in a container,f,0.0045
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,space,0.3286,,,,,,,,,f,1,,0,5,5,2,1,A minute has an end,f,0.9762
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,space,0.5227,,,,,,,,,j,0,,0,6,6,50,1,Turtles need nutrients,f,1.9605
,,,,,,,6773,2022-04-06_16h28.16.129,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,62.77463905,,,,,space,0.6805,,,,,,,,,j,0,,0,7,7,33,1,Numbers are infinite,f,0.912
