INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,,,,,,,,,,
,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,,,,,,,,,,
,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,,,,,,,,,,
,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,,,,,,,,,,
,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,,,,,,,,,,
,,,,,,,6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,0,space,1.484,0,0,0,1,1,Dinosaurs are extinct,f
,,,,,,,6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,0,space,0.8697,0,1,1,8,1,Mississippi is a country,j
,,,,,,,6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,0,space,2.404,0,2,2,2,1,Magenta is a color,f
,,,,,,,6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,0,space,4.0127,0,3,3,9,1,Humans cannot eat food,j
,,,,,,,6874,2022-03-31_16h04.24.370,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,74.985003,,0,space,0.9755,0,4,4,6,1,Jupiter is the planet we live on,j
