INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,13.1692,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.6019,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,29.719,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,11.1125,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.9735,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,f,1,2.3922,space,1.3034,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,f,1,1.7439,space,1.608,0,1,1,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,f,1,1.1579,space,0.9962,0,2,2,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,j,1,1.1292,space,1.1856,0,3,3,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,j,1,1.2651,space,0.9013,0,4,4,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,j,1,1.3821,space,0.5414,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,j,1,1.0215,space,0.8668,0,6,6,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,f,1,1.5372,space,1.0085,0,7,7,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,f,1,1.2667,space,0.5763,0,8,8,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,j,1,1.0505,space,0.5467,0,9,9,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,space,1.5242,,,,,,,,,,0,,0,0,0,23,1,Time can always be further divided,f,,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,space,0.5509,,,,,,,,,j,1,,0,1,1,127,1,A zebra is used to write,j,1.1434,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,space,0.3396,,,,,,,,,j,1,,0,2,2,118,1,A horse is used to tell time,j,1.2322,,,
,,,,,,,,6921,2022-04-06_18h11.05.992,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.76214666,,,,space,0.2016,,,,,,,,,j,1,,0,3,3,9,1,An inch is infinite,j,1.4579,,,
