INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,25.0977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,4.7826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,11.5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,f,1,2.1012,space,1.5597,0,0,0,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,j,1,1.4492,space,0.8144,0,1,1,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,f,1,1.2304,space,0.8606,0,2,2,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,f,1,1.6437,space,1.0815,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,f,0,1.0232,space,0.7934,0,4,4,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,j,1,1.0848,space,0.5343,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,f,1,1.0829,space,0.8616,0,6,6,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,j,1,1.0859,space,0.5605,0,7,7,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,j,0,1.0155,space,0.7608,0,8,8,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,f,0,0.922,space,1.2686,0,9,9,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,,,,space,1.7132,,,,,,,,space,5.3059,f,0,3.025,,0,0,0,14,1,An inch cannot always be further divided,j,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,,,,space,0.8095,,,,,,,,,,j,1,0.831,,0,1,1,123,1,Mississippi is a country,j,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,,,,space,1.1618,,,,,,,,,,j,0,1.6783,,0,2,2,57,1,Rocks have a molecular structure,f,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,,,,space,1.304,,,,,,,,,,f,1,1.5136,,0,3,3,31,1,Space can always be further divided,f,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,,,,space,0.772,,,,,,,,,,f,1,0.741,,0,4,4,102,1,The Earth is a planet,f,,,
,,,,,,,7054,2022-04-07_02h41.46.087,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.05628064,,,,,space,1.335,,,,,,,,,,j,1,1.0059,,0,5,5,59,1,Comets are alive,j,,,
