INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt
space,12.5859,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,
,,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,
space,18.1212,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,
space,7.9038,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,0,space,4.9115,0,0,0,0,1,A circle is a shape,f,,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,j,1,space,1.2848,0,1,1,9,1,Humans cannot eat food,j,1.837,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,f,1,space,0.8343,0,2,2,3,1,A clock is used to tell time,f,1.6453,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,f,1,space,0.666,0,3,3,2,1,Magenta is a color,f,1.7684,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,j,1,space,1.0227,0,4,4,5,1,A truck is an animal,j,1.7164,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,j,1,space,1.1152,0,5,5,8,1,Mississippi is a country,j,1.3567,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,j,1,space,2.2858,0,6,6,6,1,Jupiter is the planet we live on,j,2.4485,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,j,0,space,1.0628,0,7,7,4,1,Humans cannot breathe water,f,2.6856,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,f,1,space,0.6732,0,8,8,1,1,Dinosaurs are extinct,f,2.0814,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,f,0,space,0.5423,0,9,9,7,1,The Earth is a star,j,1.4283,,,,,,,,,,,,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,,space,1.1694,,,,,,,,,,,0,,0,0,0,86,1,Words have a molecular structure,j,
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,,space,0.6868,,,,,,,,,,f,1,,0,1,1,76,1,Pollen has a molecular structure,f,2.3672
,,,,,,,,7209,2022-03-31_15h10.40.981,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,59.99520038,,,space,0.508,,,,,,,,,,f,1,,0,2,2,88,1,This sentence is written in English,f,1.3468
