INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,7.79,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.631,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,9.588,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.973,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.631,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,1.69,space,1,0,0,0,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,j,1,1.126,space,4.124,0,1,1,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,j,1,1.127,space,2.097,0,2,2,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,1.28,space,0.613,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,j,1,0.857,space,0.576,0,4,4,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,1.055,space,0.417,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,1.675,space,0.551,0,6,6,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,f,1,1.037,space,0.447,0,7,7,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,j,1,0.891,space,0.656,0,8,8,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,j,1,0.972,space,0.54,0,9,9,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.384,,,,,,,,space,0.635,f,1,1.148,,0,0,0,55,1,Concrete is composed of matter,f,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.257,,,,,,,,,,f,1,0.804,,0,1,1,89,1,A square is a shape,f,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,f,0,1.168,,0,2,2,126,1,Humans can breathe water,j,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,7.43,,,,,,,,,,f,1,2.354,,0,3,3,104,1,The United States has a president,f,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.636,,,,,,,,,,f,1,1.009,,0,4,4,88,1,This sentence is written in English,f,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.647,,,,,,,,,,j,1,1.564,,0,5,5,78,1,Hammers are alive,j,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.974,,,,,,,,,,j,1,1.323,,0,6,6,41,1,The number five is infinite,j,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.678,,,,,,,,,,j,1,1.21,,0,7,7,111,1,A circle is a flavor,j,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.816,,,,,,,,,,j,1,1.461,,0,8,8,125,1,There are ninty states in the United States,j,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.552,,,,,,,,,,j,1,1.657,,0,9,9,22,1,Time cannot always be further divided,j,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.377,,,,,,,,,,f,1,0.934,,0,10,10,2,1,A minute has an end,f,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.31,,,,,,,,,,f,1,1.564,,0,11,11,40,1,The number five is finite,f,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.21,,,,,,,,,,f,1,1.046,,0,12,12,57,1,Rocks have a molecular structure,f,,
,,,,,,,,7688,2022-04-06_19h12.09,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,space,0.302,,,,,,,,,,f,0,1.957,,0,13,13,14,1,An inch cannot always be further divided,j,,
