INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,7.246200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,0.166200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,0.243799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,0,space,0.992100002,0,0,0,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,j,1,space,0.742900002,0,1,1,8,1,Mississippi is a country,j,2.077900002,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,j,1,space,0.663199997,0,2,2,5,1,A truck is an animal,j,1.253,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,j,1,space,0.576200001,0,3,3,9,1,Humans cannot eat food,j,1.497399998,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,f,1,space,0.421200001,0,4,4,0,1,A circle is a shape,f,1.921200001,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,f,1,space,0.090300003,0,5,5,2,1,Magenta is a color,f,2.160100002,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,f,1,space,0.423299999,0,6,6,4,1,Humans cannot breathe water,f,3.5885,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,j,1,space,0.088599998,0,7,7,6,1,Jupiter is the planet we live on,j,2.656900002,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,0,space,0.589299999,0,8,8,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,f,1,space,0.332700001,0,9,9,1,1,Dinosaurs are extinct,f,0.996899998,,,,,,,,,,,,,,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.666200001,,,,,,,,,space,0.0905,j,1,2.401299999,,0,0,0,84,1,Silence is composed of matter,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.334099998,,,,,,,,,,,j,1,1.240100002,,0,1,1,127,1,A zebra is used to write,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.419399998,,,,,,,,,,,f,0,1.497399998,,0,2,2,116,1,Fish cannot swim in the ocean,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.253700001,,,,,,,,,,,j,1,0.998799999,,0,3,3,119,1,A motorcycle is a person,j,,,
