INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,6.8931,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.4909,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,7.0161,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,3.5918,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.0402,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,0,space,7.3113,0,0,0,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,j,1,space,1.0861,0,1,1,6,1,Jupiter is the planet we live on,j,1.3911,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,j,1,space,0.8174,0,2,2,8,1,Mississippi is a country,j,1.7597,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,f,1,space,3.7376,0,3,3,0,1,A circle is a shape,f,1.7003,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,j,0,space,1.0537,0,4,4,4,1,Humans cannot breathe water,f,1.1537,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,f,1,space,0.6518,0,5,5,3,1,A clock is used to tell time,f,1.2369,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,f,1,space,0.5842,0,6,6,2,1,Magenta is a color,f,1.2319,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,j,0,space,0.7732,0,7,7,1,1,Dinosaurs are extinct,f,1.3125,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,j,1,space,0.6187,0,8,8,9,1,Humans cannot eat food,j,1.3511,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,j,1,space,0.5362,0,9,9,5,1,A truck is an animal,j,1.3997,,,,,,,,,,,,,,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.5451,,,,,,,,,space,0.555,f,1,1.232,,0,0,0,29,1,Space can go on forever,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.6705,,,,,,,,,,,j,1,1.2903,,0,1,1,63,1,Color can be put in a container,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.5006,,,,,,,,,,,j,0,1.6294,,0,2,2,73,1,Bubbles can be put in a container,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4355,,,,,,,,,,,j,1,1.3176,,0,3,3,11,1,An inch is endless,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4519,,,,,,,,,,,f,1,0.9531,,0,4,4,95,1,Yellow is a color,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4413,,,,,,,,,,,f,1,1.4445,,0,5,5,106,1,Humans cannot breathe water,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4702,,,,,,,,,,,j,1,1.1456,,0,6,6,108,1,This sentence is written in Spanish,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4575,,,,,,,,,,,j,0,1.2631,,0,7,7,4,1,A minute cannot go on forever,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4181,,,,,,,,,,,j,1,1.0799,,0,8,8,114,1,Lightbulbs are made of clay,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.5085,,,,,,,,,,,j,0,1.1417,,0,9,9,44,1,The number five cannot go on forever,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.5201,,,,,,,,,,,j,1,1.5217,,0,10,10,65,1,Shadows are composed of matter,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4941,,,,,,,,,,,f,1,1.1819,,0,11,11,103,1,The United States is a country,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.474,,,,,,,,,,,f,1,1.6445,,0,12,12,15,1,An inch can be always further divided,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4556,,,,,,,,,,,j,1,1.2477,,0,13,13,127,1,A zebra is used to write,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4513,,,,,,,,,,,j,1,0.999,,0,14,14,82,1,Stones reproduce,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.5519,,,,,,,,,,,j,0,1.2028,,0,15,15,56,1,Diamonds have a molecular structure,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4395,,,,,,,,,,,j,1,1.306,,0,16,16,14,1,An inch cannot always be further divided,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4517,,,,,,,,,,,f,1,1.0121,,0,17,17,68,1,Algae is alive,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4391,,,,,,,,,,,f,1,0.8194,,0,18,18,93,1,Magenta is a color,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4618,,,,,,,,,,,f,0,1.0516,,0,19,19,38,1,Numbers cannot always be further divided,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4834,,,,,,,,,,,j,1,1.4595,,0,20,20,67,1,Gravity has a molecular structure,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4236,,,,,,,,,,,j,1,1.1624,,0,21,21,43,1,The number five is endless,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4039,,,,,,,,,,,f,1,1.1083,,0,22,22,52,1,Frogs reproduce,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4246,,,,,,,,,,,j,0,1.2072,,0,23,23,31,1,Space can always be further divided,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4061,,,,,,,,,,,f,1,1.1155,,0,24,24,21,1,Time can go on forever,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4187,,,,,,,,,,,j,1,1.0113,,0,25,25,113,1,Magenta is a shape,j,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4714,,,,,,,,,,,j,0,1.1161,,0,26,26,72,1,Mushrooms reproduce,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4436,,,,,,,,,,,f,1,1.0091,,0,27,27,89,1,A square is a shape,f,,,
,,,,,,,,8032,2022-04-06_19h00.13.690,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,58.99008966,,,space,0.4488,,,,,,,,,,,j,1,1.1983,,0,28,28,28,1,Space cannot go on forever,j,,,
