INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,18.74,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,0.1227,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,0.0396,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,1.0836,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,f,1,1.5381,space,0.8168,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,f,1,1.4421,space,0.857,0,1,1,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,j,1,1.6591,space,1.1096,0,2,2,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,f,1,1.0245,space,0.4478,0,3,3,0,1,A circle is a shape,f,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,f,1,0.964,space,0.265,0,4,4,2,1,Magenta is a color,f,,,,,,,,,,,,,,
