INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys
space,12.0138,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,
space,16.3369,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,
space,9.0609,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,
space,10.1443,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.5805,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,f,1,1.5665,space,1.2243,0,0,0,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,j,1,1.4808,space,1.2273,0,1,1,8,1,Mississippi is a country,j,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,f,1,1.4524,space,0.9658,0,2,2,0,1,A circle is a shape,f,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,f,1,1.0228,space,1.0042,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,f,1,1.3542,space,0.6375,0,4,4,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,f,1,1.4302,space,0.6107,0,5,5,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,j,1,1.0002,space,0.7337,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,j,1,1.2838,space,0.6185,0,7,7,7,1,The Earth is a star,j,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,j,1,1.1729,space,0.3912,0,8,8,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,j,1,1.1469,space,0.4348,0,9,9,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,1.8292,,,,,,,,,,0,,0,0,0,85,1,Thoughts are composed of matter,j,,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.5665,,,,,,,,,j,1,,0,1,1,120,1,A truck is an animal,j,1.2038,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.427,,,,,,,,,f,1,,0,2,2,100,1,A truck is a vehicle,f,1.078,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.6003,,,,,,,,,f,1,,0,3,3,102,1,The Earth is a planet,f,1.5125,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.5008,,,,,,,,,j,1,,0,4,4,113,1,Magenta is a shape,j,1.1837,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.5192,,,,,,,,,f,1,,0,5,5,101,1,Jupiter is in our solar system,f,1.5167,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.7514,,,,,,,,,j,0,,0,6,6,4,1,A minute cannot go on forever,f,2.3635,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.5446,,,,,,,,,j,1,,0,7,7,126,1,Humans can breathe water,j,1.4791,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4865,,,,,,,,,j,1,,0,8,8,110,1,A triangle is an animal,j,1.2192,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4846,,,,,,,,,f,1,,0,9,9,105,1,There are fifty states in the United States,f,1.0372,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4665,,,,,,,,,j,1,,0,10,10,3,1,A minute is endless,j,1.8573,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3304,,,,,,,,,j,1,,0,11,11,61,1,Sailboats reproduce,j,1.2488,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3846,,,,,,,,,f,1,,0,12,12,71,1,Oaks reproduce,f,0.9672,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.7842,,,,,,,,,j,0,,0,13,13,55,1,Concrete is composed of matter,f,2.0455,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4682,,,,,,,,,j,1,,0,14,14,59,1,Comets are alive,j,1.401,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.5186,,,,,,,,,j,1,,0,15,15,34,1,Numbers have an end,j,1.1981,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.395,,,,,,,,,j,1,,0,16,16,43,1,The number five is endless,j,1.3421,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4344,,,,,,,,,j,1,,0,17,17,86,1,Words have a molecular structure,j,1.5656,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4896,,,,,,,,,j,1,,0,18,18,20,1,Time cannot go on forever,j,1.2316,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4053,,,,,,,,,f,1,,0,19,19,95,1,Yellow is a color,f,1.0188,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3676,,,,,,,,,f,1,,0,20,20,17,1,Time is infinite,f,1.2012,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4851,,,,,,,,,j,1,,0,21,21,28,1,Space cannot go on forever,j,1.2176,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3509,,,,,,,,,f,1,,0,22,22,27,1,Space is endless,f,1.184,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.5739,,,,,,,,,f,1,,0,23,23,40,1,The number five is finite,f,1.6138,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.5351,,,,,,,,,j,1,,0,24,24,30,1,Space cannot always be further divided,j,1.8463,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3852,,,,,,,,,j,1,,0,25,25,87,1,Dreams have a molecular structure,j,1.2476,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4693,,,,,,,,,f,1,,0,26,26,29,1,Space can go on forever,f,2.7369,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.435,,,,,,,,,f,1,,0,27,27,8,1,An inch is finite,f,1.4643,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3001,,,,,,,,,f,1,,0,28,28,103,1,The United States is a country,f,0.9306,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.5347,,,,,,,,,f,1,,0,29,29,53,1,Bricks can be put in a container,f,2.1466,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3864,,,,,,,,,f,1,,0,30,30,21,1,Time can go on forever,f,1.2314,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3286,,,,,,,,,j,1,,0,31,31,114,1,Lightbulbs are made of clay,j,1.0262,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3777,,,,,,,,,j,1,,0,32,32,6,1,A minute cannot always be further divided,j,1.5185,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3839,,,,,,,,,f,1,,0,33,33,10,1,An inch has an end,f,1.2006,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2508,,,,,,,,,j,1,,0,34,34,80,1,Mittens need nutrients,j,1.3334,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.437,,,,,,,,,f,1,,0,35,35,75,1,Frost is composed of matter,f,1.5543,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2841,,,,,,,,,j,1,,0,36,36,63,1,Color can be put in a container,j,2.2833,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2491,,,,,,,,,f,1,,0,37,37,98,1,A clock is used to tell time,f,1.0998,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2179,,,,,,,,,j,1,,0,38,38,60,1,Robots need nutrients,j,0.9153,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2736,,,,,,,,,f,1,,0,39,39,39,1,Numbers can always be further divided,f,1.3657,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,2.5407,,,,,,,,,j,1,space,0,40,40,109,1,A square is a color,j,0.9502,0.5685,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3182,,,,,,,,,f,1,,0,41,41,69,1,Bacteria are alive,f,0.9809,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.27,,,,,,,,,j,1,,0,42,42,118,1,A horse is used to tell time,j,1.3528,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2353,,,,,,,,,f,1,,0,43,43,104,1,The United States has a president,f,1.1481,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3525,,,,,,,,,j,0,,0,44,44,74,1,Foam is composed of matter,f,2.2499,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.4178,,,,,,,,,j,1,,0,45,45,32,1,Numbers are finite,j,1.7976,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.3858,,,,,,,,,f,1,,0,46,46,31,1,Space can always be further divided,f,1.6316,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2538,,,,,,,,,j,1,,0,47,47,124,1,The president of the United States is Oprah,j,1.1802,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2324,,,,,,,,,f,1,,0,48,48,89,1,A square is a shape,f,0.8267,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.252,,,,,,,,,f,1,,0,49,49,99,1,A motorcycle is a vehicle,f,1.1336,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2192,,,,,,,,,j,1,,0,50,50,5,1,A minute can go on forever,j,1.0835,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2021,,,,,,,,,f,1,,0,51,51,57,1,Rocks have a molecular structure,f,1.1685,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2344,,,,,,,,,f,1,,0,52,52,92,1,Dinosaurs are extinct,f,0.77,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.1668,,,,,,,,,j,1,,0,53,53,81,1,Tables reproduce,j,0.8509,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.2186,,,,,,,,,f,1,,0,54,54,77,1,Saliva has a molecular structure,f,1.1168,,
,,,,,,,,8221,2022-04-06_18h11.29.356,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.04924038,,,,space,0.1518,,,,,,,,,j,1,,0,55,55,26,1,Space has an end,j,0.9335,,
