INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct
space,2.9164,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.5504,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,,,,,,,,,,,,,,,,,,,,,,
space,5.1585,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.6348,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.2021,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,j,1,1.2469,space,0.7511,0,0,0,7,1,The Earth is a star,j,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,f,1,1.4609,space,0.3582,0,1,1,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,f,1,0.9418,space,0.2482,0,2,2,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,j,1,0.9147,space,0.246,0,3,3,5,1,A truck is an animal,j,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,j,1,1.3236,space,0.3117,0,4,4,8,1,Mississippi is a country,j,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,j,1,1.0703,space,0.2485,0,5,5,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,f,1,1.0649,space,0.2637,0,6,6,0,1,A circle is a shape,f,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,j,1,1.1295,space,0.2333,0,7,7,9,1,Humans cannot eat food,j,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,f,1,0.7707,space,0.1583,0,8,8,2,1,Magenta is a color,f,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,f,1,0.8112,space,0.1257,0,9,9,3,1,A clock is used to tell time,f,,,,,,,,,,,,,
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2492,,,,,,,,space,0.7671,j,1,0.8454,,0,0,0,120,1,A truck is an animal,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2371,,,,,,,,,,j,1,1.1416,,0,1,1,26,1,Space has an end,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.3507,,,,,,,,,,j,1,1.2727,,0,2,2,116,1,Fish cannot swim in the ocean,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2574,,,,,,,,,,f,1,1.2719,,0,3,3,23,1,Time can always be further divided,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2173,,,,,,,,,,j,1,0.8733,,0,4,4,78,1,Hammers are alive,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2231,,,,,,,,,,j,1,1.1241,,0,5,5,60,1,Robots need nutrients,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.225,,,,,,,,,,f,1,1.144,,0,6,6,77,1,Saliva has a molecular structure,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2828,,,,,,,,,,f,1,1.1108,,0,7,7,74,1,Foam is composed of matter,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2041,,,,,,,,,,f,1,1.902,,0,8,8,8,1,An inch is finite,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.3523,,,,,,,,,,f,0,2.0826,,0,9,9,46,1,The number five cannot always be further divided,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.229,,,,,,,,,,j,1,1.4615,,0,10,10,14,1,An inch cannot always be further divided,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.3066,,,,,,,,,,f,1,1.2898,,0,11,11,37,1,Numbers can go on forever,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2263,,,,,,,,,,j,1,1.5591,,0,12,12,9,1,An inch is infinite,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1917,,,,,,,,,,j,1,1.1656,,0,13,13,87,1,Dreams have a molecular structure,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2248,,,,,,,,,,j,1,0.9067,,0,14,14,108,1,This sentence is written in Spanish,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2253,,,,,,,,,,f,1,1.5307,,0,15,15,54,1,Dumbells are composed of matter,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.7838,,,,,,,,,,f,0,1.1302,,0,16,16,85,1,Thoughts are composed of matter,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2203,,,,,,,,,,j,1,1.4121,,0,17,17,32,1,Numbers are finite,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2005,,,,,,,,,,j,1,1.2059,,0,18,18,122,1,The Earth is a star,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1661,,,,,,,,,,j,1,1.3877,,0,19,19,43,1,The number five is endless,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1946,,,,,,,,,,j,1,0.9977,,0,20,20,5,1,A minute can go on forever,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1656,,,,,,,,,,j,1,1.3302,,0,21,21,83,1,Songs can be put in a container,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1593,,,,,,,,,,j,1,0.8898,,0,22,22,86,1,Words have a molecular structure,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1202,,,,,,,,,,j,1,0.8921,,0,23,23,63,1,Color can be put in a container,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1023,,,,,,,,,,j,0,0.9142,,0,24,24,15,1,An inch can be always further divided,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1197,,,,,,,,,,f,1,1.3445,,0,25,25,21,1,Time can go on forever,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.0955,,,,,,,,,,j,0,1.0872,,0,26,26,12,1,An inch cannot go on forever,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.169,,,,,,,,,,f,1,2.0907,,0,27,27,49,1,Pelicans are alive,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.2159,,,,,,,,,,j,1,1.1282,,0,28,28,3,1,A minute is endless,j
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1317,,,,,,,,,,f,1,1.2975,,0,29,29,39,1,Numbers can always be further divided,f
,,,,,,,,8320,2022-03-31_17h01.32.965,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.34718101,,,,space,0.1488,,,,,,,,,,j,1,1.1012,,0,30,30,64,1,Echoes are composed of matter,j
