INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,1.9774,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,4.1721,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,0.5863,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,f,1,1.9651,space,0.7776,0,0,0,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,f,1,1.0335,space,0.7528,0,1,1,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,j,1,1.0879,space,0.4406,0,2,2,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,j,1,1.0838,space,0.4891,0,3,3,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,j,1,0.9213,space,0.8608,0,4,4,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,f,1,1.2499,space,0.3875,0,5,5,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,9505,2022-04-06_16h04.24.235,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.00960154,,f,1,1.116,space,0.4195,0,6,6,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
