INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,1.5081,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.2552,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.2787,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.2419,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.334,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,1.5576,0,0,0,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,0.1212,0,1,1,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,1.212,0,2,2,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,6.3879,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,1.7006,0,4,4,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,0.6623,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,1.1429,0,6,6,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,,,0,7,7,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,1.9562,0,8,8,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,0,space,5.9975,0,9,9,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,1.0395,,,,,,,,space,3.5136,j,1,0.0772,,0,0,0,65,1,Shadows are composed of matter,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,2.4828,,,,,,,,,,f,0,0.1562,,0,1,1,83,1,Songs can be put in a container,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,1.5708,,,,,,,,,,f,1,0.1001,,0,2,2,88,1,This sentence is written in English,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,3.9009,,,,,,,,,,j,1,0.1092,,0,3,3,62,1,Helicopters reproduce,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,2.0398,,,,,,,,,,f,0,0.1562,,0,4,4,111,1,A circle is a flavor,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,1.2677,,,,,,,,,,j,1,0.1565,,0,5,5,127,1,A zebra is used to write,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.626,,,,,,,,,,j,0,0.0068,,0,6,6,40,1,The number five is finite,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.4318,,,,,,,,,,j,1,0.1544,,0,7,7,60,1,Robots need nutrients,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.3755,,,,,,,,,,f,0,0.1689,,0,8,8,3,1,A minute is endless,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,1.2189,,,,,,,,,,f,1,0.0057,,0,9,9,91,1,A circle is a shape,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,1.1963,,,,,,,,,,j,1,0.0366,,0,10,10,81,1,Tables reproduce,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.7896,,,,,,,,,,j,0,0.0069,,0,11,11,17,1,Time is infinite,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,3.1917,,,,,,,,,,j,1,0.1083,,0,12,12,11,1,An inch is endless,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,2.7536,,,,,,,,,,f,0,0.1568,,0,13,13,36,1,Numbers cannot go on forever,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,1.1407,,,,,,,,,,f,1,0.007,,0,14,14,37,1,Numbers can go on forever,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,2.2835,,,,,,,,,,j,1,0.095,,0,15,15,67,1,Gravity has a molecular structure,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.8694,,,,,,,,,,j,0,0.5651,,0,16,16,10,1,An inch has an end,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.5081,,,,,,,,,,j,1,0.6274,,0,17,17,110,1,A triangle is an animal,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.403,,,,,,,,,,j,1,0.1329,,0,18,18,82,1,Stones reproduce,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.0968,,,,,,,,,,f,1,0.066,,0,19,19,35,1,Numbers are endless,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.874,,,,,,,,,,f,0,0.0527,,0,20,20,13,1,An inch can go on forever,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.1924,,,,,,,,,,f,0,0.4622,,0,21,21,43,1,The number five is endless,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.037,,,,,,,,,,f,0,0.5455,,0,22,22,108,1,This sentence is written in Spanish,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.1134,,,,,,,,,,f,1,0.5752,,0,23,23,4,1,A minute cannot go on forever,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.007,,,,,,,,,,f,0,0.0063,,0,24,24,119,1,A motorcycle is a person,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.3168,,,,,,,,,,f,1,0.1532,,0,25,25,47,1,The number five can always be further divided,f,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.1225,,,,,,,,,,f,0,0.1804,,0,26,26,113,1,Magenta is a shape,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,space,0.1971,,,,,,,,,,f,0,0.4353,,0,27,27,122,1,The Earth is a star,j,,,
,,,,,,,,9601,2022-04-06_19h02.16.264,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,33.04801877,,,,,,,,,,,,,,,0,,,0,28,28,6,1,A minute cannot always be further divided,j,,,
