INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,1,1,1,1,"Each statement will appear on your screen for up to 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,19.217,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,21.909,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,11.725,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,j,0,2.177,space,9.881,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,f,1,1.282,space,0.733,0,1,1,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,j,1,1.714,space,0.616,0,2,2,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,f,1,1.198,space,0.572,0,3,3,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,j,1,1.831,space,0.803,0,4,4,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,f,1,1.181,space,0.568,0,5,5,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,j,1,1.131,space,0.751,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,j,1,1.199,space,0.589,0,7,7,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,j,1,1.366,space,0.483,0,8,8,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,f,1,1.065,space,0.383,0,9,9,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.834,,,,,,,,,f,1,1.164,,0,0,0,127,1,The United States is a country,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.517,,,,,,,,,f,1,2.615,,0,1,1,4,1,A minute cannot go on forever,f,,,
