FastInstructions,practicetext,practicecorrect,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross1.started,fixcross1.stopped,PracticeText.started,PracticeText.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,scaretone.started,scaretone.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,,0,0,0,0,,,,,,,,,33.1728109990072,None,e,0.30620135299977846,35.13936788700812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,,,0,1,1,1,,,,,,,,,35.50633863999974,None,e,5.060762125998735,37.4893405620096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,,0,2,2,2,,,,,,,,,42.589682828009245,None,e,2.265437842987012,44.573724445013795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. ",,,,,0,3,3,3,,,,,,,,,46.873542962013744,None,e,0.6186586510011693,48.857207994005876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
"If the statement is true, press the “E” key on your keyboard with your left pointer finger; if the statement is false, press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,,0,4,4,4,,,,,,,,,49.52284116100054,None,e,0.2941856030083727,51.50734751400887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,Humans cannot eat food,i,,,,,,,0,0,0,9,,,,,,,,,,,51.87426151600084,52.32432794600027,52.33988268200483,None,i,1,2.4424250120064244,52.33988268200483,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,Mississippi is a country,i,,,,,,,0,1,1,8,,,,,,,,,,,54.8237160770077,55.273259404013515,55.30644255201332,None,i,1,3.394749386003241,55.30644255201332,None,58.30720557230525,58.506485032005,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,Dinosaurs are extinct,e,,,,,,,0,2,2,1,,,,,,,,,,,58.72447051201016,59.17350611000438,59.20672870000999,None,e,1,1.4344816299999366,59.20672870000999,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,Magenta is a color,e,,,,,,,0,3,3,2,,,,,,,,,,,60.674762008013204,61.125072355003795,61.157042688006186,None,e,1,1.2850242919957964,61.157042688006186,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,A circle is a shape,e,,,,,,,0,4,4,0,,,,,,,,,,,62.475643365003634,62.92514086001029,62.95798192700022,None,e,1,0.8691110819927417,62.95798192700022,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,Humans cannot breathe water,e,,,,,,,0,5,5,4,,,,,,,,,,,63.8742523730034,64.32397654400847,64.3408387380041,None,e,1,3.062925368998549,64.3408387380041,None,67.34144804430544,None,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,Jupiter is the planet we live on,i,,,,,,,0,6,6,6,,,,,,,,,,,67.42580856900895,67.8903472610109,67.90767177101225,None,i,1,3.970814688000246,67.90767177101225,None,70.9080886173062,71.10748435700953,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,The Earth is a star,i,,,,,,,0,7,7,7,,,,,,,,,,,71.90791606700805,72.35736481500498,72.39106343900494,None,i,1,1.330564810996293,72.39106343900494,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,A truck is an animal,i,,,,,,,0,8,8,5,,,,,,,,,,,73.74237758399977,74.19204325700412,74.2258288830053,None,i,1,0.9327556019998156,74.2258288830053,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,A clock is used to tell time,e,,,,,,,0,9,9,3,,,,,,,,,,,75.19148900100845,75.64291890700406,75.67569614101376,None,e,1,1.5008172939997166,75.67569614101376,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2258683250111,None,e,2.4549310189904645,80.20914652300416,None,,,,,,,,,,,,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,,,Time cannot be further divided,i,,,,,,,,,0,0,0,46,,,,,,,,,,,,,,,,,,,,,,,,82.74240519900923,83.19209780800156,83.22591465600999,None,i,1,3.4429343739902833,83.22591465600999,None,86.2267079063051,86.42712732900691,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
,,,Tornadoes reproduce,i,,,,,,,,,0,1,1,85,,,,,,,,,,,,,,,,,,,,,,,,86.6929212140094,87.14209560400923,87.17622506100452,None,i,1,1.3014313809981104,87.17622506100452,None,None,None,,,,,,,computer12/30,001,2021_Dec_30_1346,InfinityThesisTest5,2021.2.3,59.683624150420314,
