Statement,Correct,n,Fasttext.started_mean,Fasttext.started_raw,Fasttext.started_std,Fasttext.stopped_raw,Timer.started_raw,Timer.stopped_raw,fixcross.started_mean,fixcross.started_raw,fixcross.started_std,fixcross.stopped_mean,fixcross.stopped_raw,fixcross.stopped_std,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.started_std,key_resp.stopped_raw,order
A minute is finite,e,1.0,391.26470947265625,391.26470947265625,0.0,,,,390.7805480957031,390.7805480957031,0.0,391.24658203125,391.24658203125,0.0,0.0,0.0,0.0,'i',2.343482494354248,2.343482494354248,0.0,391.26470947265625,391.26470947265625,0.0,,121.0
A minute is infinite,i,1.0,380.48004150390625,380.48004150390625,0.0,,383.4795205873117,,379.99609375,379.99609375,0.0,380.4472961425781,380.4472961425781,0.0,1.0,1.0,0.0,'i',3.636986255645752,3.636986255645752,0.0,380.48004150390625,380.48004150390625,0.0,,117.0
A minute has an end,e,1.0,110.7450942993164,110.7450942993164,0.0,,,,110.26097869873047,110.26097869873047,0.0,110.7106704711914,110.7106704711914,0.0,1.0,1.0,0.0,'e',1.440260410308838,1.440260410308838,0.0,110.7450942993164,110.7450942993164,0.0,,11.0
A minute is endless,i,1.0,139.9638671875,139.9638671875,0.0,,,,139.47979736328125,139.47979736328125,0.0,139.92982482910156,139.92982482910156,0.0,1.0,1.0,0.0,'i',1.0735963582992554,1.0735963582992554,0.0,139.9638671875,139.9638671875,0.0,,20.0
A minute cannot go on forever,e,1.0,188.86659240722656,188.86659240722656,0.0,193.86636967101367,191.8672100403084,,188.38348388671875,188.38348388671875,0.0,188.8339080810547,188.8339080810547,0.0,0.0,0.0,0.0,,,,,188.86659240722656,188.86659240722656,0.0,,40.0
A minute can go on forever,i,1.0,107.57835388183594,107.57835388183594,0.0,,,,107.09407806396484,107.09407806396484,0.0,107.54411315917969,107.54411315917969,0.0,1.0,1.0,0.0,'i',2.655001640319824,2.655001640319824,0.0,107.57835388183594,107.57835388183594,0.0,,10.0
A minute cannot be further divided,i,1.0,434.5674133300781,434.5674133300781,0.0,,,,434.08349609375,434.08349609375,0.0,434.533935546875,434.533935546875,0.0,1.0,1.0,0.0,'i',1.750361680984497,1.750361680984497,0.0,434.5674133300781,434.5674133300781,0.0,,135.0
A minute can be further divided,e,1.0,206.10147094726562,206.10147094726562,0.0,,,,205.61778259277344,205.61778259277344,0.0,206.06838989257812,206.06838989257812,0.0,1.0,1.0,0.0,'e',1.7753747701644897,1.7753747701644897,0.0,206.10147094726562,206.10147094726562,0.0,,46.0
An inch is finite,e,1.0,263.17218017578125,263.17218017578125,0.0,,,,262.6884460449219,262.6884460449219,0.0,263.1384582519531,263.1384582519531,0.0,0.0,0.0,0.0,'i',1.5276618003845215,1.5276618003845215,0.0,263.17218017578125,263.17218017578125,0.0,,68.0
An inch is infinite,i,1.0,325.3266906738281,325.3266906738281,0.0,,328.3269420373137,,324.84234619140625,324.84234619140625,0.0,325.2925109863281,325.2925109863281,0.0,1.0,1.0,0.0,'i',3.903869390487671,3.903869390487671,0.0,325.3266906738281,325.3266906738281,0.0,,95.0
